date,total_cases,deaths
2020/2/24,229,7
2020/2/25,322,10
2020/2/26,400,12
2020/2/27,650,17
2020/2/28,888,21
2020/2/29,1128,29
2020/3/1,1694,34
2020/3/2,2036,52
2020/3/3,2502,79
2020/3/4,3089,107
2020/3/5,3858,148
2020/3/6,4636,197
2020/3/7,5883,233
2020/3/8,7375,366
2020/3/9,9172,463
2020/3/10,10149,631
2020/3/11,12462,827
2020/3/12,15113,1016
2020/3/13,17660,1266
2020/3/14,21157,1441
2020/3/15,24747,1809
2020/3/16,27980,2158
2020/3/17,31506,2503
2020/3/18,35713,2978
2020/3/19,41035,3405
2020/3/20,47021,4032
2020/3/21,53578,4825
2020/3/22,59138,5476
2020/3/23,63927,6077
2020/3/24,69176,6820
2020/3/25,74386,7503
2020/3/26,80539,8165
2020/3/27,86498,9134
2020/3/28,92472,10023
2020/3/29,97689,10779
2020/3/30,101739,11591
2020/3/31,105792,12428
2020/4/1,110574,13155
2020/4/2,115242,13915
2020/4/3,119827,14681
2020/4/4,124632,15362
2020/4/5,128948,15887
2020/4/6,132547,16523
2020/4/7,135586,17127
2020/4/8,139422,17669
2020/4/9,143626,18279
2020/4/10,147577,18849
2020/4/11,152271,19468
2020/4/12,156363,19899
2020/4/13,159516,20465
2020/4/14,162488,21067
2020/4/15,165155,21645
2020/4/16,168941,22170
2020/4/17,172434,22745
2020/4/18,175925,23227
2020/4/19,178972,23660
2020/4/20,181228,24114
2020/4/21,183957,24648
2020/4/22,187327,25085
2020/4/23,189973,25549
2020/4/24,192994,25969
2020/4/25,195351,26384
2020/4/26,197675,26644
2020/4/27,199414,26977
2020/4/28,201505,27359
2020/4/29,203591,27682
2020/4/30,205463,27967
