date,cum_confirmed,cum_deaths,NO DEATH
2020/2/7,24,0,24
2020/2/8,24,0,24
2020/2/9,27,0,27
2020/2/10,27,0,27
2020/2/11,28,0,28
2020/2/12,28,0,28
2020/2/13,28,0,28
2020/2/14,28,0,28
2020/2/15,28,0,28
2020/2/16,29,0,29
2020/2/17,30,0,30
2020/2/18,31,0,31
2020/2/19,51,0,51
2020/2/20,104,1,103
2020/2/21,204,2,202
2020/2/22,433,2,431
2020/2/23,602,6,596
2020/2/24,833,8,825
2020/2/25,977,12,965
2020/2/26,1261,12,1249
2020/2/27,1766,13,1753
2020/2/28,2337,13,2324
2020/2/29,3150,17,3133
2020/3/1,3736,18,3718
2020/3/2,4212,22,4190
2020/3/3,4812,28,4784
2020/3/4,5328,32,5296
2020/3/5,5766,35,5731
2020/3/6,6284,42,6242
2020/3/7,6767,44,6723
2020/3/8,7134,50,7084
2020/3/9,7382,51,7331
2020/3/10,7513,54,7459
2020/3/11,7755,60,7695
2020/3/12,7869,66,7803
2020/3/13,7979,67,7912
2020/3/14,8086,72,8014
2020/3/15,8126,75,8051
2020/3/16,8236,75,8161
2020/3/17,8320,81,8239
2020/3/18,8413,84,8329
2020/3/19,8565,91,8474
2020/3/20,8652,94,8558
2020/3/21,8799,102,8697
2020/3/22,8897,104,8793
2020/3/23,8961,111,8850
2020/3/24,9037,120,8917
2020/3/25,9137,126,9011
2020/3/26,9241,131,9110
2020/3/27,9332,139,9193
2020/3/28,9478,144,9334
2020/3/29,9583,152,9431
2020/3/30,9661,158,9503
2020/3/31,9786,162,9624
2020/4/1,9887,165,9722
2020/4/2,9976,169,9807
2020/4/3,10062,174,9888
2020/4/4,10156,177,9979
2020/4/5,10237,183,10054
2020/4/6,10284,186,10098
2020/4/7,10331,192,10139
2020/4/8,10384,200,10184
2020/4/9,10423,204,10219
2020/4/10,10450,208,10242
2020/4/11,10480,211,10269
2020/4/12,10512,214,10298
2020/4/13,10537,217,10320
2020/4/14,10564,222,10342
2020/4/15,10591,225,10366
2020/4/16,10613,229,10384
2020/4/17,10635,230,10405
2020/4/18,10653,232,10421
2020/4/19,10661,234,10427
2020/4/20,10674,236,10438
2020/4/21,10683,237,10446
2020/4/22,10694,238,10456
2020/4/23,10702,240,10462
2020/4/24,10708,240,10468
2020/4/25,10718,240,10478
2020/4/26,10728,242,10486
2020/4/27,10738,243,10495
2020/4/28,10752,244,10508
2020/4/29,10761,246,10515
2020/4/30,10765,247,10518
